"","model","inference","replicate","height","ntaxa","r_mse","N_mse","N_true_sum","true positive","true negative","false negative","false positive","false positive rate","true positive rate","false negative rate","true negative rate","prop_error_geomean_lambda","prop_error_mean_lambda","prop_error_geomean_mu","prop_error_mean_mu","arithmetic_error_netdiv","criterion"
"16",1,"true_all",6,25,19,0.000106858637150623,2.82406890909513e-05,0,0,36,0,0,0,NA,NA,1,1.25843052676166,1.25843062931609,1.25843052676166,1.25843062931609,0.0103372251726438,"N_over_half"
"17",1,"true_all",6,25,19,0.000106858637150623,2.82406890909513e-05,0,0,36,0,0,0,NA,NA,1,1.25843052676166,1.25843062931609,1.25843052676166,1.25843062931609,0.0103372251726438,"bayes_factor_10"
"18",1,"true_all",6,25,19,0.000106858637150623,2.82406890909513e-05,0,0,36,0,0,0,NA,NA,1,1.25843052676166,1.25843062931609,1.25843052676166,1.25843062931609,0.0103372251726438,"N_half_and_bayes_factor"
"19",1,"true_all",7,25,13,6.96305895029278e-05,2.67697446402676e-05,0,0,24,0,0,0,NA,NA,1,1.20861149235821,1.2086116207148,1.20861149235821,1.2086116207148,0.00834446482859191,"N_over_half"
"20",1,"true_all",7,25,13,6.96305895029278e-05,2.67697446402676e-05,0,0,24,0,0,0,NA,NA,1,1.20861149235821,1.2086116207148,1.20861149235821,1.2086116207148,0.00834446482859191,"bayes_factor_10"
"21",1,"true_all",7,25,13,6.96305895029278e-05,2.67697446402676e-05,0,0,24,0,0,0,NA,NA,1,1.20861149235821,1.2086116207148,1.20861149235821,1.2086116207148,0.00834446482859191,"N_half_and_bayes_factor"
"22",1,"true_all",8,25,8,5.74757767138167e-05,4.30794316540396e-05,0,0,14,0,0,0,NA,NA,1,1.18952802372662,1.18952856342794,1.18952802372662,1.18952856342794,0.00758114253711749,"N_over_half"
"23",1,"true_all",8,25,8,5.74757767138167e-05,4.30794316540396e-05,0,0,14,0,0,0,NA,NA,1,1.18952802372662,1.18952856342794,1.18952802372662,1.18952856342794,0.00758114253711749,"bayes_factor_10"
"24",1,"true_all",8,25,8,5.74757767138167e-05,4.30794316540396e-05,0,0,14,0,0,0,NA,NA,1,1.18952802372662,1.18952856342794,1.18952802372662,1.18952856342794,0.00758114253711749,"N_half_and_bayes_factor"
"25",1,"true_all",9,25,13,7.14137698090164e-05,4.16875067108679e-05,0,0,24,0,0,0,NA,NA,1,1.2112619105032,1.21126261727606,1.2112619105032,1.21126261727606,0.00845050469104236,"N_over_half"
"26",1,"true_all",9,25,13,7.14137698090164e-05,4.16875067108679e-05,0,0,24,0,0,0,NA,NA,1,1.2112619105032,1.21126261727606,1.2112619105032,1.21126261727606,0.00845050469104236,"bayes_factor_10"
"27",1,"true_all",9,25,13,7.14137698090164e-05,4.16875067108679e-05,0,0,24,0,0,0,NA,NA,1,1.2112619105032,1.21126261727606,1.2112619105032,1.21126261727606,0.00845050469104236,"N_half_and_bayes_factor"
"28",1,"true_all",10,25,6,6.16701555711406e-05,7.02796265546903e-05,0,0,10,0,0,0,NA,NA,1,1.19632262501109,1.19632308243004,1.19632262501109,1.19632308243004,0.0078529232972016,"N_over_half"
"29",1,"true_all",10,25,6,6.16701555711406e-05,7.02796265546903e-05,0,0,10,0,0,0,NA,NA,1,1.19632262501109,1.19632308243004,1.19632262501109,1.19632308243004,0.0078529232972016,"bayes_factor_10"
"30",1,"true_all",10,25,6,6.16701555711406e-05,7.02796265546903e-05,0,0,10,0,0,0,NA,NA,1,1.19632262501109,1.19632308243004,1.19632262501109,1.19632308243004,0.0078529232972016,"N_half_and_bayes_factor"
"31",1,"true_all",11,25,25,0.000109638622236299,2.30325340654725e-05,0,0,48,0,0,0,NA,NA,1,1.26176864952948,1.26176908043386,1.26176864952948,1.26176908043386,0.0104707632173545,"N_over_half"
"32",1,"true_all",11,25,25,0.000109638622236299,2.30325340654725e-05,0,0,48,0,0,0,NA,NA,1,1.26176864952948,1.26176908043386,1.26176864952948,1.26176908043386,0.0104707632173545,"bayes_factor_10"
"33",1,"true_all",11,25,25,0.000109638622236299,2.30325340654725e-05,0,0,48,0,0,0,NA,NA,1,1.26176864952948,1.26176908043386,1.26176864952948,1.26176908043386,0.0104707632173545,"N_half_and_bayes_factor"
